"campus","name","provincia","localidadDBpedia","lat","long"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Loja","Loja","http://dbpedia.org/resource/Loja_Province","http://dbpedia.org/resource/Loja,_Ecuador","-3.983330011367798","-79.19999694824219"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Macas","Macas","http://dbpedia.org/resource/Morona-Santiago_Province","http://dbpedia.org/resource/Macas_(city)","-2.366669893264771","-78.13330078125"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Machachi","Machachi","http://dbpedia.org/resource/Pichincha_Province","http://dbpedia.org/resource/Machachi","-0.5099999904632568","-78.56999969482422"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Machala","Machala ","http://dbpedia.org/resource/El_Oro_Province","http://dbpedia.org/resource/Machala","-3.266669988632202","-79.96669769287109"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Madrid","Madrid","http://dbpedia.org/resource/Community_of_Madrid","http://dbpedia.org/resource/Madrid","40.38330078125","-3.716670036315918"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Milagro","Milagro","http://dbpedia.org/resource/Guayas_Province","http://dbpedia.org/resource/Milagro_Canton","-2.126940011978149","-79.59919738769531"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_New_York","New York","http://dbpedia.org/resource/New_York","http://dbpedia.org/resource/New_York_City","40.71269989013672","-74.00589752197266"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_New_York","New York","http://dbpedia.org/resource/New_York","http://dbpedia.org/resource/New_York_City","40.71670150756836","-74.00589752197266"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_New_York","New York","http://dbpedia.org/resource/New_York","http://dbpedia.org/resource/New_York_City","40.71269989013672","-74"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_New_York","New York","http://dbpedia.org/resource/New_York","http://dbpedia.org/resource/New_York_City","40.71670150756836","-74"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Nueva_Loja","Nueva Loja","http://dbpedia.org/resource/Sucumb%C3%ADos_Province","http://dbpedia.org/resource/Nueva_Loja","0.08472219854593277","-76.88279724121094"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Otavalo","Otavalo","http://dbpedia.org/resource/Imbabura_Province","http://dbpedia.org/resource/Otavalo_Canton","0.2333330065011978","-78.26670074462891"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Pasaje","Pasaje ","http://dbpedia.org/resource/El_Oro_Province","http://dbpedia.org/resource/Pasaje_Canton","-3.326900005340576","-79.80490112304688"
"http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Paute","Paute","http://dbpedia.org/resource/Azuay_Province","http://dbpedia.org/resource/Paute_Canton","-2.781800031661987","-78.76000213623047"
