;CENTRO;CAMPUS;provincia;localidadDBpedia;lat;long;RESUMEN
26;MACHACHI;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Machachi;http://dbpedia.org/resource/Pichincha_Province;http://dbpedia.org/resource/Machachi;-0.5099999904632568;-78.56999969482422;29
27;MACHALA;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Machala;http://dbpedia.org/resource/El_Oro_Province;http://dbpedia.org/resource/Machala;-3.2666699886322017;-79.9666976928711;220
28;MADRID;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Madrid;http://dbpedia.org/resource/Community_of_Madrid;http://dbpedia.org/resource/Madrid;40.38330078125;-3.716670036315918;24
29;MILAGRO;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Milagro;http://dbpedia.org/resource/Guayas_Province;http://dbpedia.org/resource/Milagro_Canton;-2.126940011978149;-79.59919738769531;88
30;NEW YORK;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_New_York;http://dbpedia.org/resource/New_York;http://dbpedia.org/resource/New_York_City;40.71269989013672;-74.00589752197266;13
31;NEW YORK;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_New_York;http://dbpedia.org/resource/New_York;http://dbpedia.org/resource/New_York_City;40.71670150756836;-74.00589752197266;13
32;NEW YORK;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_New_York;http://dbpedia.org/resource/New_York;http://dbpedia.org/resource/New_York_City;40.71269989013672;-74.0;13
33;NEW YORK;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_New_York;http://dbpedia.org/resource/New_York;http://dbpedia.org/resource/New_York_City;40.71670150756836;-74.0;13
34;OTAVALO;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Otavalo;http://dbpedia.org/resource/Imbabura_Province;http://dbpedia.org/resource/Otavalo_Canton;0.2333330065011978;-78.2667007446289;53
35;PASAJE;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Pasaje;http://dbpedia.org/resource/El_Oro_Province;http://dbpedia.org/resource/Pasaje_Canton;-3.326900005340576;-79.80490112304688;37
36;PAUTE;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Paute;http://dbpedia.org/resource/Azuay_Province;http://dbpedia.org/resource/Paute_Canton;-2.781800031661987;-78.76000213623047;35
37;PEDERNALES;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Pedernales;http://dbpedia.org/resource/Manab%C3%AD_Province;http://dbpedia.org/resource/Pedernales_Canton;0.07010000199079514;-80.05359649658203;25
38;PORTOVIEJO;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Portoviejo;http://dbpedia.org/resource/Manab%C3%AD_Province;http://dbpedia.org/resource/Portoviejo;-1.0561100244522093;-80.4552993774414;122
39;PUYO;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Puyo;http://dbpedia.org/resource/Pastaza_Province;http://dbpedia.org/resource/Puyo,_Pastaza;-1.066669940948486;-78.0010986328125;71
40;QUEVEDO;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Quevedo;http://dbpedia.org/resource/Los_R%C3%ADos_Province;http://dbpedia.org/resource/Quevedo,_Ecuador;-1.033329963684082;-79.44999694824219;100
41;QUITO;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Quito;http://dbpedia.org/resource/Pichincha_Province;http://dbpedia.org/resource/Quito;-0.2333330065011978;-78.5167007446289;846
42;RIOBAMBA;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Riobamba;http://dbpedia.org/resource/Chimborazo_Province;http://dbpedia.org/resource/Riobamba;-1.674350023269653;-78.64830017089844;141
43;ROMA;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Roma;http://dbpedia.org/resource/Province_of_Rome;http://dbpedia.org/resource/Rome;41.900001525878906;12.5;5
44;SAN LORENZO;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_San_Lorenzo;http://dbpedia.org/resource/Esmeraldas_Province;http://dbpedia.org/resource/San_Lorenzo_Canton;1.265799999237061;-78.84140014648438;2
45;SANTA ISABEL;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Santa_Isabel;http://dbpedia.org/resource/Azuay_Province;http://dbpedia.org/resource/Santa_Isabel_Canton;-3.274169921875;-79.31559753417969;24
46;SANTA ROSA;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Santa_Rosa;http://dbpedia.org/resource/El_Oro_Province;http://dbpedia.org/resource/Santa_Rosa_Canton;-3.45221996307373;-79.96170043945312;38
47;SARAGURO;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Saraguro;http://dbpedia.org/resource/Loja_Province;http://dbpedia.org/resource/Saraguro_Canton;-3.6252999305725098;-79.24109649658203;24
48;SEVILLA DE ORO;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Sevilla_de_Oro;http://dbpedia.org/resource/Azuay_Province;http://dbpedia.org/resource/Sevilla_de_Oro_Canton;-2.316669940948486;-78.0999984741211;6
49;SHUSHUFINDI;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Shushufindi;http://dbpedia.org/resource/Sucumb%C3%ADos_Province;http://dbpedia.org/resource/Shushufindi_Canton;-0.1870999932289124;-76.6449966430664;22
50;TENA;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Tena;http://dbpedia.org/resource/Napo_Province;http://dbpedia.org/resource/Tena,_Ecuador;-0.9890000224113464;-77.81590270996094;60
51;VINCES;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Vinces;http://dbpedia.org/resource/Los_R%C3%ADos_Province;http://dbpedia.org/resource/Vinces;-1.5499999523162842;-79.7332992553711;12
52;ZAMORA;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Zamora;http://dbpedia.org/resource/Zamora-Chinchipe_Province;http://dbpedia.org/resource/Zamora_Canton;-4.119999885559082;-78.80000305175781;48
53;ZARUMA;http://data.utpl.edu.ec/utpl/lod/resource/Center_Centro_Universitario_Zaruma;http://dbpedia.org/resource/El_Oro_Province;http://dbpedia.org/resource/Zaruma_Canton;-3.4333300590515137;-79.5999984741211;35
